3144.1,3375,2940
3174.75,3391,2940
3378.24,3563,3110
3462.9,3602,3196
3528.09,3680,3250
3563,3705,3259
3596.07,3729,3312
3623.16,3747,3305
3648.52,3774,3348
3676.12,3807,3430
3703.29,3836,3429
3724.6,3898,3377
3744.66,3898,3425
3759.81,3908,3435
3771.04,3908,3449
3778.14,3925,3408
3787.79,3925,3491
3798.88,3925,3485
3806.92,3926,3464
3812.68,3959,3497
3820.17,3959,3534
3826.12,3963,3553
3835.64,3963,3520
3841.18,3963,3520
3845.12,3963,3559
3850.33,3963,3559
3855.16,3963,3526
3860.18,3963,3567
3862,3963,3570
3866.32,3963,3552
3868.97,3988,3534
3872.77,3997,3600
3876.62,3997,3589
3879.86,4011,3544
3881.54,4011,3530
3884.69,4011,3558
3887.08,4017,3603
3892.97,4017,3616
3896.63,4017,3561
3902.61,4017,3568
3906.7,4041,3569
3912.56,4041,3608
3913.51,4041,3505
3919.32,4041,3599
3923.71,4041,3517
3924.62,4046,3610
3928.65,4046,3580
3932.95,4046,3597
3937.85,4046,3619
3940.61,4046,3653
3943.21,4046,3633
3945.18,4049,3618
3946.42,4049,3647
3949.72,4049,3574
3950.63,4049,3630
3956.16,4049,3645
3955.64,4049,3605
3958.27,4056,3646
3961.21,4056,3576
3962.2,4062,3624
3965.26,4062,3625
3965.78,4062,3678
3967.38,4062,3654
3971.03,4062,3639
3972.59,4062,3635
3972.72,4073,3652
3974.01,4073,3685
3975.31,4073,3517
3977.89,4073,3658
3979,4073,3675
3979.98,4073,3590
3980.23,4073,3674
3982.25,4080,3688
3983.07,4080,3619
3984.87,4080,3665
3986.52,4083,3688
3986.66,4127,3685
3987.44,4127,3591
3989.98,4127,3654
3992.52,4127,3644
3994.53,4127,3613
3997.2,4127,3706
3998.87,4127,3643
4001.2,4127,3621
4001.86,4127,3687
4005.49,4127,3716
4005.36,4127,3645
4008.55,4127,3662
4007.46,4127,3673
4010.37,4127,3693
4012.96,4127,3729
4014.55,4127,3617
4014.55,4127,3702
4015.24,4127,3623
4018.57,4127,3704
4019.73,4127,3715
4021.21,4127,3677
4022.94,4127,3644
4023.23,4127,3692
4025.36,4127,3702
4027.34,4127,3690
4028.55,4127,3693
4028.36,4130,3719
4030.58,4130,3649
4031.82,4130,3613
4032.97,4130,3686
4034.46,4130,3687
4036,4134,3719
4036.91,4134,3668
4037.71,4134,3675
4038.7,4134,3632
4040.98,4147,3759
4039.56,4147,3615
4042.52,4147,3764
4042.35,4147,3704
4044.1,4147,3747
4045.87,4147,3761
4045.45,4147,3704
4047.2,4147,3603
4047.39,4147,3689
4049.65,4147,3746
4050.89,4147,3767
4050.83,4147,3717
4052.67,4168,3642
4053.88,4168,3739
4053.76,4168,3695
4055.49,4168,3706
4056.94,4168,3763
4057.57,4168,3746
4057.6,4168,3684
4059.11,4168,3630
4061.03,4168,3772
4061.18,4168,3716
4063.1,4168,3751
4062.3,4168,3714
4063.22,4168,3714
4065.16,4168,3771
4064.94,4168,3803
4067.77,4168,3708
4066.57,4168,3714
4067.9,4168,3752
4067.9,4168,3803
4068.42,4168,3661
4070.51,4168,3767
4070.76,4168,3733
4071.3,4168,3764
4071.68,4168,3788
4073.06,4168,3759
4073.91,4168,3751
4074.02,4168,3702
4074.33,4168,3644
4074.66,4168,3711
4076.2,4168,3762
4077.56,4168,3717
4076.88,4168,3760
4077.5,4168,3760
4078.26,4168,3775
4079.89,4168,3766
4078.21,4168,3694
4078.88,4168,3684
4080.76,4168,3737
4081.49,4168,3726
4082.25,4168,3822
4081.96,4168,3738
4083.09,4168,3766
4082.48,4168,3732
4084.04,4168,3739
4084.56,4168,3761
4084.89,4168,3763
4084.91,4168,3756
4085.12,4168,3769
4085.27,4168,3722
4087.28,4168,3723
4086.92,4168,3773
4088.2,4168,3814
4087.39,4179,3790
4088.2,4179,3743
4088.98,4179,3654
4088.37,4179,3716
4090.26,4179,3690
4090.69,4179,3825
4179
